ID,Title,Upvotes,Sentiment,Synopsis
I_kwDOObWEYM69zuIP,Intermittent ETIMEDOUT Error Due to IPv6 Connectivity to cloudcode-pa.googleapis.com,0,🐛,"### What happened?  **Description**  The Gemini CLI intermittently fails with an ETIMEDOUT error when connecting to cloudcode-pa.googleapis.com (e.g., 2404:6800"
I_kwDOObWEYM69zu7a,Cancellation Token,0,👍,"### What would you like to be added?  Please include Cancellation token.  ### Why is this needed?  When I ask to search web for something, it takes long time, i"
I_kwDOObWEYM69zt3P,please add custom slash commands similar to those allowed by claude code.,0,👍,"### What happened?  Claude Code allows users to create custom slash commands using simple markdown files within a relative ./claude directory. As an engineer, I"
I_kwDOObWEYM69zm1h,Will gemini-cli support API integration in the future like the LLM from Ollama?,0,👍,"### What would you like to be added?  Hi folks,   When I installed the gemini-cli on my computer(MacBook M4) I saw it request permission on many locations like "
I_kwDOObWEYM69zcjN,UI lag and ctrl+c / esc not working in versions greater than 0.1.5,0,👎,"### What happened?  The old version 0.1.5 has no issues, but the latest versions 0.1.6 and 0.1.7 both have UI lag problems. Specifically, when asking a question"
I_kwDOObWEYM69zSAD,Auto fix errors feature,0,🐛,"### What would you like to be added?  Automated Incident Response: Gemini monitors logs and alerts, suggests or executes fixes,  ### Why is this needed?  Its ju"
I_kwDOObWEYM69zPYK,was kicked of Gemini code CLI twice in a row,0,👎, ## Describe the bug I was kicked off the Gemini Code twice within 5 minutes of opening it. The command line with my terminal opened up. Yesterday when I tried 
I_kwDOObWEYM69zLPa,429 Too Many Requests,0,✨,"### What happened?  It tells me I exceeded the API limit on the first 30 messages (?), and won't let me use it again even though It's been over 2 hours.  ""...Ho"
I_kwDOObWEYM69z9yX,gemini-cli不能使用gemini-2.5-pro，启动后自动被切换到gemini-2.5-flash。根本无法使用,0,👍,### What would you like to be added?  gemini-cli不能使用gemini-2.5-pro，启动后自动被切换到gemini-2.5-flash。根本无法使用  ### Why is this needed?  gemini-cli不能使用gemini-2.5-pro，启动后自动
I_kwDOObWEYM69z6i0,bug switching partition,0,🐛,### What happened?  I've tried to change partition and got me an error : ... first 97 lines hidden ...                                                          
I_kwDOObWEYM69z6_6,"Output looks weird in Windows 11 cmd.exe/terminal, like lines are misaligned and also tabs/spaces inserted ?",0,👍,![Image](https://github.com/user-attachments/assets/01f9d7e4-0ef3-480d-9a35-d0330544223a) ![Image](https://github.com/user-attachments/assets/59b1d197-6f19-46c9
I_kwDOObWEYM69z5up,cli doesn't work properly in the ubuntu shell,0,💻,### What happened?  the ubuntu shell when using gemini-cli messes up the terminal ul  ### What did you expect to happen?  gemini should work properly in ubuntu 
I_kwDOObWEYM69z1Rb,Support deleting chat conversation,0,👍,"### What would you like to be added?  Currently, /chat does not support deleting chat conversations, it only supports list, save, and resume. Please support del"
I_kwDOObWEYM69z01K,ℹ ⚡ Slow response times detected.,1,📝,### What happened?  ℹ ⚡ Slow response times detected. Automatically switching from gemini-2.5-pro to gemini-2.5-flash for faster responses for the remainder of 
I_kwDOObWEYM69yxRv,"Got this error ""web search tool is   currently experiencing a quota limit"" in the first try",0,🐛,### What happened?  This was my prompt   `Give me a report of the credit cards available in costa rica and their benefits. Don't give up until you have a solid 
I_kwDOObWEYM69yuG6,/chat list not showing saved chats,0,📝,### What happened?  /chat save returned Conversation checkpoint saved. but when I /chat list it doesn't show any chat history.   ### What did you expect to happ
I_kwDOObWEYM69yt87,GESTOBASS,0,📝,### What happened?  refuse d'ecrire le code  ### What did you expect to happen?  Une application web complete de gestion des agences de microfinance  ### Client
I_kwDOObWEYM69ynQ8,The model switching by it self and running tokens and time,2,👎, ## Describe the bug A clear and concise description of what the bug is.  ## Additional context Add any other context about the problem here.  ## Diagnostic Inf
I_kwDOObWEYM69ykff,gemini cli should allow me to enter a Gemini API key without exiting,0,👍,"### What would you like to be added?  As a first time user of this tool, I'd like to be able to add my API key without first having to exit `gemini`, add it to "
I_kwDOObWEYM69yVLf,Curl tool breaks box rendering,1,👎,"### What happened?  Repro steps:  <img width=""847"" alt=""Image"" src=""https://github.com/user-attachments/assets/9d74e6c1-a58c-42d7-a891-69fa26fee6fb"" />  The pro"
I_kwDOObWEYM69yILm,Unable to submit any request in gemini cli,0,✨,"### What happened?  I get the following error when I submit a request:  `✕ [API Error: [{     ""error"": {       ""code"": 400,       ""message"": ""Unable to submit r"
I_kwDOObWEYM69yHoy,Gemini should be bash aware on cli messages it proposes,0,💻,### What happened?  Gemini cli often proposes running commands that include single quotes even though it isn't intending these as an escaped shell command. This
I_kwDOObWEYM69yD9A,"Agent does not dynamically load tools from external MCP servers (e.g., gitmcp) without restart",0,👍,### What happened?  The Gemini CLI agent does not dynamically recognize and load new tools provided by external Model Context Protocol (MCP) servers (like `gitm
I_kwDOObWEYM69y5KO,Failed to login on company proxy/vpn.  reason: self-signed certificate in certificate chain,0,🐛,"### What happened?  Here is the error when I was on company proxy/vpn. Failed to login. Message: request to https://oauth2.googleapis.com/token failed, reason: "
I_kwDOObWEYM69y1Jt,"GEMINI never succeeded in correcting the Japanese broken characters in the following sentence: ""生成されたベクトルと関連するメタデータはQdrantベク��ルデータベースに保存されます。"" The correct sentence is of course ""生成されたベクトルと関連するメタデータはQdrantベクトルデータベースに保存されます。"" This model (gemini-2.5-flash) is",0,📝,"### What happened?  Gemini failed to fix the broken japanese characters.  Sentence: ""生成されたベクトルと関連するメタデータはQdrantベク��ルデータベースに保存されます。""  Gemini (2.5-flash) tires to"
I_kwDOObWEYM69xsft,it think for ever,0,👎, ## Describe the bug A clear and concise description of what the bug is.  ## Additional context Add any other context about the problem here.  ## Diagnostic Inf
I_kwDOObWEYM69xfpi,[Feature Request]: Edit Any Previous Message in the Conversation,0,✨,"### What would you like to be added?  ### Summary  Enable users to **edit any previously sent message** in a conversation, rather than limiting edits to only th"
I_kwDOObWEYM69xUu9,"Long-running shell commands cause UI lag, endless loops",0,👍,### What happened?  Gemini CLI started a long-running `gsutil -cp` command to copy items from one storage bucket to another.  This command took about 30 minutes
I_kwDOObWEYM69xUD3,Gemini CLI on Windows Fails to Launch xlwings-based MCP Server,0,🐛,### What happened?  A. Summary  The Gemini CLI for Windows (v0.1.5 confirmed) is unable to successfully launch a local MCP server that uses the Python xlwings l
I_kwDOObWEYM69xH5F,Gemini-CLI does not install via npm,0,👍,"### What happened?  Hi all, here is my system config:  ![Image](https://github.com/user-attachments/assets/64d9fadb-365f-4f5b-a98d-2ae183f517ed)  Here is an err"
I_kwDOObWEYM69xEcT,GOOGLE_CLOUD_PROJECT env var,2,📝,### What happened?  Failed to login. Message: This account requires setting the GOOGLE_CLOUD_PROJECT env var. See            │ │ https://goo.gle/gemini-cli-auth
I_kwDOObWEYM69x2xb,Ability to ask the tool to operate on / modify its context,0,👍,"### What would you like to be added?  Add the ability for the tool to operate on its context. Example: instead of manually running the /compress command, I shou"
I_kwDOObWEYM69x0a6,Gemini-cli replace tool is failing when attempting to modify configuration files,0,🐛,### What happened?   The `replace` tool in the Gemini CLI agent is failing when attempting to modify configuration files. The issue is that the `old_string` par
I_kwDOObWEYM69wu3q,Issue with /editor command,0,📝,"### What happened?   I'm faced an issue with /editor command in the cli. I'm running gemini-cli in the Cursor terminal, but I keep getting the message: ""Cursor "
